,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.864300012588501,"sell, aapl, rt, intc, company, google, tech, amazon, apple, made","['apple', 'compare', 'ugly', 'duckling', 'kohl', 'httpstcojwpsrdhbj', 'aapl', 'k']"
1,1.0,0.944100022315979,"spy, aapl, rt, fb, amzn, http, tsla, ibb, gm, spx","['rt', 'outsizedreturn', 'bloomberg', 'news', 'update', 'spy', 'yinn', 'nky', 'oil', 'vxx', 'f', 'fb', 'vlo', 'xom', 'cm', 'v', 'aapl', 'hedgefund', 'httpstcofnxykxmv', 'ht']"
2,2.0,0.9136000275611877,"aapl, investing, fbi, rt, first, take, investor, profit, let, sampp","['rt', 'jimpshepard', 'aapl', 'premarket', 'jun', 'edt', 'nasdaq', 'realtime', 'data', 'disclaimer', 'currency']"
3,3.0,0.920799970626831,"aapl, call, china, put, encryption, close, rt, hold, stop, work","['rt', 'maximumpaincm', 'aapl', 'oi', 'maturity', 'highest', 'put', 'highest', 'call', 'bullish', 'httpstcothkagxtr', 'httpstc']"
4,4.0,0.9049999713897705,"aapl, sector, apple, rt, via, sale, share, analyst, growth, stock","['icahns', 'exit', 'buffetts', 'entry', 'affect', 'aapl', 'judgment', 'big', 'name', 'effect', 'httpstcozokmuh', 'httpstcoudaqlfdjfe']"
5,5.0,0.932200014591217,"year, aapl, jpm, last, million, think, ahead, rt, start, buying","['rt', 'reformedbroker', 'last', 'year', 'top', 'automaker', 'upped', 'combined', 'rampd', 'spend', 'million', 'aapl', 'upped', 'rampd', 'spend']"
6,6.0,0.84170001745224,"aapl, gild, need, credit, apple, suisse, would, cut, right, june","['apple', 'need', 'buy', 'cloud', 'httpstcobzwudftf', 'aapl']"
7,7.0,0.864300012588501,"aapl, u, get, see, week, g, next, today, b, going","['rt', 'elixiumcapital', 'bullish', 'aapl', 'know', 'anything', 'g', 'httpstcowwssdjoh', 'httpstcocqkikmiw']"
8,8.0,0.8944000005722046,"watch, aapl, apple, rt, future, macbook, pay, ad, order, apps","['positive', 'sign', 'apple', 'watch', 'apple', 'aapl', 'fit', 'robertlehar', 'longideas', 'saexclusive', 'aapl', 'httpstcohdcbtbfig', 'httpstcosspbubkr']"
9,9.0,0.972100019454956,"eurusd, gbpusd, buy, could, still, rt, apple, billion, team, cash","['aapl', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy', 'buy']"
10,10.0,0.84170001745224,"cnnmoney, look, ba, like, rt, aapl, upgrade, run, lower, expected","['aapl', 'tom', 'look', 'like', 'aapl', 'bounced', 'today', 'tom', 'httpstcotvluf']"
11,11.0,0.9472000002861023,"best, aapl, siri, report, ipad, pro, trend, weekly, show, model","['httpstcomaqgesnxu', 'lt', 'timothy', 'sykes', 'guide', 'best', 'pennystock', 'broker', 'must', 'see', 'free', 'video', 'casy', 'akrx', 'aapl', 'ocul', 'rga']"
12,12.0,0.8944000005722046,"aapl, apple, iphones, time, rt, price, day, short, different, month","['rt', 'jessefelder', 'tim', 'cook', 'admitted', 'price', 'iphones', 'may', 'high', 'httpstcoczywgefk', 'aapl', 'httpstcoxjufznlbx']"
13,13.0,0.9472000002861023,"fb, aapl, stock, spy, goog, rt, trading, tsla, twtr, msft","['rt', 'swingwarrior', 'day', 'trading', 'chatroom', 'free', 'httpstcowrzouqi', 'stock', 'trading', 'aapl', 'fb', 'amzn', 'tsla', 'grpn', 'gpro', 'twtr', 'spy', 'http']"
14,14.0,0.9136000275611877,"aapl, inc, apple, c, se, stock, tvix, another, baba, option","['apple', 'outperform', 'rating', 'reiterated', 'sanford', 'c', 'bernstein', 'pt', 'httpstcobybovqd', 'aapl', 'aapl']"
15,15.0,0.762499988079071,"car, money, coming, th, aapl, win, research, businessinsider, sbux, fall","['rt', 'stockboardasset', 'wasnt', 'leading', 'burning', 'building', 'aapl', 'httpstcoojqetutb']"
16,16.0,0.8944000005722046,"aapl, market, one, chart, rt, long, good, make, april, dont","['rt', 'tomlloyd', 'aapl', 'break', 'min', 'test', 'min', 'uptrend', 'break', 'httpstcovyrpdkwrd']"
17,17.0,0.8100000023841858,"aapl, rt, amp, earnings, cmg, pt, tesla, vrx, case, algos","['aapl', 'pt', 'lowered', 'rbc', 'capial', 'post', 'q']"
18,18.0,0.920799970626831,"apple, aapl, read, iphone, new, say, io, update, mac, app","['rt', 'cloudunlock', 'kevin', 'melencion', 'follow', 'cloudunlock', 'check', 'apple', 'icloud', 'iphone', 'aapl', 'unlock', 'code', 'httpstcosfeb']"
19,19.0,0.920799970626831,"trade, review, htt, uso, ung, pfe, dividend, aapl, daytrading, rt","['rt', 'stockhuntress', 'fousx', 'daytrading', 'dvd', 'review', 'httpstcokxroinm', 'aapl', 'fxcm', 'himx', 'asp', 'aal']"
