,age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
1722,57,retired,married,secondary,no,1044,no,no,telephone,12,567,1,182,3,success,yes
460,26,management,single,tertiary,no,592,no,no,telephone,29,145,2,164,1,other,no
2795,48,management,married,tertiary,no,3494,no,no,cellular,28,145,3,97,1,other,no
2989,30,management,single,tertiary,no,147,no,no,cellular,1,153,1,-1,0,unknown,no
705,32,admin.,single,secondary,no,197,no,no,cellular,28,205,3,-1,0,unknown,no
485,32,management,married,tertiary,no,3651,yes,no,cellular,20,142,3,-1,0,unknown,no
3442,33,management,married,tertiary,no,0,yes,no,cellular,9,310,1,-1,0,unknown,no
1237,42,housemaid,married,tertiary,no,0,no,no,cellular,26,112,10,-1,0,unknown,no
2851,52,admin.,married,secondary,no,32,no,yes,cellular,9,103,1,-1,0,unknown,no
3588,40,self-employed,married,primary,no,42,no,no,cellular,11,264,3,-1,0,unknown,no
3704,43,admin.,married,secondary,no,132,no,no,cellular,19,574,1,84,3,success,yes
3719,57,retired,married,tertiary,no,1458,no,no,telephone,4,89,5,-1,0,unknown,no
2554,53,technician,married,secondary,no,1835,yes,no,cellular,21,184,2,-1,0,unknown,no
1510,56,blue-collar,married,secondary,no,249,yes,no,unknown,29,791,2,-1,0,unknown,yes
3997,21,blue-collar,single,secondary,no,1385,yes,no,cellular,20,12,5,-1,0,unknown,no
998,33,technician,married,secondary,no,4,yes,yes,unknown,18,625,2,-1,0,unknown,yes
1581,31,blue-collar,married,secondary,no,297,yes,no,unknown,12,480,1,-1,0,unknown,no
2788,53,blue-collar,married,secondary,no,4380,no,no,telephone,19,223,7,-1,0,unknown,no
320,33,management,single,tertiary,no,87,no,no,cellular,12,978,1,-1,0,unknown,yes
1185,36,management,married,unknown,no,-35,yes,yes,unknown,21,17,2,-1,0,unknown,no
1000,47,unemployed,married,secondary,no,0,no,no,unknown,19,284,1,-1,0,unknown,no
3543,42,blue-collar,married,primary,no,714,yes,no,unknown,21,18,28,-1,0,unknown,no
3961,44,management,divorced,primary,no,641,yes,no,cellular,5,79,2,269,3,other,no
1436,30,technician,single,secondary,no,2734,no,no,cellular,21,459,3,-1,0,unknown,yes
3044,45,admin.,married,secondary,no,740,no,yes,cellular,19,109,2,-1,0,unknown,no
1240,54,technician,married,tertiary,no,98,no,no,cellular,8,420,4,-1,0,unknown,no
3161,50,admin.,divorced,primary,no,8583,yes,no,cellular,19,59,1,-1,0,unknown,no
1049,47,services,married,primary,no,1496,yes,no,unknown,16,211,2,-1,0,unknown,no
2560,41,blue-collar,single,primary,no,1618,yes,no,unknown,14,1553,1,-1,0,unknown,yes
3570,44,management,married,primary,no,2276,yes,no,unknown,17,321,1,-1,0,unknown,no
1385,30,technician,single,tertiary,no,60,yes,yes,unknown,7,306,5,-1,0,unknown,no
2497,49,blue-collar,married,primary,no,-232,no,yes,cellular,11,106,2,-1,0,unknown,no
3325,32,entrepreneur,single,tertiary,no,7641,yes,yes,cellular,21,39,10,-1,0,unknown,no
1374,37,blue-collar,married,secondary,no,685,yes,no,unknown,6,968,1,-1,0,unknown,no
417,34,management,divorced,tertiary,no,221,no,no,cellular,8,150,2,-1,0,unknown,no
809,27,student,single,tertiary,no,3733,yes,no,cellular,22,198,1,98,6,success,yes
1436,28,technician,single,secondary,no,-16,yes,no,cellular,18,251,3,-1,0,unknown,no
3406,32,blue-collar,married,primary,no,39,yes,no,cellular,7,128,1,-1,0,unknown,no
1127,29,admin.,single,tertiary,no,135,no,no,cellular,7,248,1,-1,0,unknown,no
3066,32,management,married,tertiary,no,1570,no,no,cellular,4,156,1,-1,0,unknown,no
2979,56,technician,married,secondary,no,589,yes,no,unknown,29,535,2,-1,0,unknown,yes
1095,41,blue-collar,married,unknown,no,2113,yes,no,telephone,9,20,5,-1,0,unknown,no
1481,40,management,single,tertiary,no,171,no,no,cellular,19,1241,3,-1,0,unknown,no
2411,45,housemaid,married,secondary,no,870,no,yes,unknown,19,258,2,-1,0,unknown,no
546,42,admin.,single,secondary,no,-149,yes,yes,cellular,8,33,1,-1,0,unknown,no
1302,31,management,married,tertiary,no,242,yes,no,cellular,9,106,4,-1,0,unknown,no
1281,28,admin.,single,secondary,no,596,yes,no,unknown,6,151,6,-1,0,unknown,no
87,29,student,single,tertiary,no,5,no,no,cellular,15,889,5,-1,0,unknown,yes
3846,54,housemaid,married,unknown,no,0,no,no,cellular,6,189,2,-1,0,unknown,no
3922,39,self-employed,married,tertiary,no,127,no,no,cellular,22,77,1,-1,0,unknown,no
3432,67,retired,married,tertiary,no,701,no,no,cellular,6,254,2,-1,0,unknown,yes
1690,54,admin.,divorced,secondary,no,735,no,no,cellular,28,300,1,-1,0,unknown,no
3567,23,self-employed,single,tertiary,no,780,no,no,cellular,16,393,1,183,3,success,yes
2366,68,retired,married,tertiary,no,2820,no,no,cellular,3,154,1,97,2,failure,yes
3192,35,admin.,married,secondary,no,214,yes,yes,unknown,5,247,1,-1,0,unknown,no
3195,58,admin.,married,secondary,no,826,no,no,unknown,12,885,1,-1,0,unknown,yes
1274,36,self-employed,single,tertiary,no,4634,no,no,cellular,29,162,1,-1,0,unknown,no
2345,45,management,married,tertiary,no,81,no,yes,cellular,30,61,3,-1,0,unknown,no
3678,27,technician,married,secondary,no,639,yes,no,unknown,26,633,1,-1,0,unknown,no
2102,31,technician,single,tertiary,no,426,yes,no,unknown,23,82,7,-1,0,unknown,no
3545,39,entrepreneur,married,secondary,no,2139,yes,no,cellular,15,576,4,371,1,failure,yes
1622,71,retired,divorced,tertiary,yes,1236,yes,no,cellular,14,335,4,-1,0,unknown,yes
1723,52,technician,married,tertiary,no,214,no,no,cellular,29,161,3,-1,0,unknown,no
1100,25,student,single,secondary,no,469,no,no,cellular,21,273,1,86,1,other,yes
1830,54,retired,married,secondary,no,2950,no,no,cellular,11,45,2,-1,0,unknown,no
3486,46,technician,married,secondary,no,1,no,yes,cellular,20,200,1,-1,0,unknown,no
3256,32,technician,married,secondary,no,106,no,no,cellular,9,12,8,174,9,other,no
2401,38,technician,married,secondary,no,1828,no,no,unknown,16,35,1,-1,0,unknown,no
45,53,services,divorced,secondary,no,0,no,no,cellular,12,80,2,-1,0,unknown,yes
1485,26,entrepreneur,single,secondary,no,87,yes,no,cellular,24,225,1,-1,0,unknown,no
3008,55,admin.,married,secondary,no,139,no,no,cellular,30,241,1,-1,0,unknown,yes
771,51,services,divorced,secondary,no,0,no,no,telephone,30,273,4,-1,0,unknown,no
3554,45,blue-collar,married,secondary,no,0,yes,no,unknown,26,112,2,-1,0,unknown,no
2304,43,admin.,married,secondary,no,-150,no,yes,cellular,21,62,2,136,3,failure,no
1564,28,blue-collar,married,primary,no,32,yes,no,unknown,27,218,1,-1,0,unknown,no
3432,41,admin.,divorced,secondary,no,348,yes,no,unknown,27,233,3,-1,0,unknown,no
3348,51,technician,married,secondary,no,1174,yes,no,cellular,15,301,1,-1,0,unknown,no
1104,28,self-employed,married,secondary,no,-522,yes,yes,cellular,18,638,2,-1,0,unknown,yes
2825,32,management,married,tertiary,no,1196,yes,no,cellular,11,508,1,-1,0,unknown,no
3113,35,blue-collar,married,secondary,no,4,no,no,unknown,9,130,2,-1,0,unknown,no
3106,55,blue-collar,married,primary,no,512,no,no,cellular,5,1200,2,-1,0,unknown,yes
13,47,management,single,tertiary,no,86,no,no,cellular,5,253,1,97,4,success,yes
2931,33,technician,single,tertiary,no,49,no,no,cellular,25,476,3,-1,0,unknown,no
3850,32,technician,single,tertiary,no,2684,yes,no,cellular,18,542,2,-1,0,unknown,yes
234,44,housemaid,married,tertiary,no,460,no,no,unknown,17,491,1,-1,0,unknown,no
3112,60,blue-collar,married,primary,no,136,yes,no,unknown,8,43,2,-1,0,unknown,no
3988,33,blue-collar,single,primary,no,165,yes,no,cellular,15,139,2,-1,0,unknown,no
2376,32,unemployed,married,secondary,no,93,yes,no,unknown,20,203,2,-1,0,unknown,no
3591,34,blue-collar,married,secondary,no,-29,yes,no,cellular,11,200,2,364,2,other,no
98,49,management,divorced,tertiary,no,348,no,no,cellular,30,125,1,-1,0,unknown,yes
749,43,blue-collar,married,secondary,no,-179,yes,no,cellular,30,335,6,-1,0,unknown,no
1729,45,blue-collar,married,secondary,no,10252,no,no,cellular,22,173,1,141,2,success,yes
2822,28,blue-collar,married,secondary,no,0,yes,no,unknown,27,548,1,-1,0,unknown,no
1470,32,management,single,tertiary,no,41,yes,no,cellular,7,449,1,338,1,other,no
200,39,blue-collar,married,primary,no,279,yes,no,unknown,5,361,1,-1,0,unknown,no
1817,46,admin.,single,secondary,no,1790,yes,no,unknown,5,214,5,-1,0,unknown,no
3402,31,admin.,married,secondary,no,3052,yes,yes,cellular,20,115,2,177,2,failure,no
569,35,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,1205,1,-1,0,unknown,yes
2770,29,services,married,primary,no,321,yes,no,unknown,7,196,2,-1,0,unknown,no
935,34,admin.,married,secondary,no,1158,yes,no,cellular,18,61,7,-1,0,unknown,no
521,57,management,married,secondary,no,2155,no,yes,cellular,10,144,3,91,2,failure,yes
2880,58,unknown,married,unknown,no,219,no,no,unknown,18,55,1,-1,0,unknown,no
3399,60,retired,married,secondary,no,-1110,yes,no,unknown,6,143,2,-1,0,unknown,no
1687,46,unknown,married,tertiary,no,8564,no,no,cellular,2,397,2,342,1,failure,no
3072,28,admin.,single,tertiary,no,14,no,no,cellular,1,201,1,-1,0,unknown,no
2117,32,management,single,secondary,no,67,no,no,cellular,11,55,2,-1,0,unknown,no
3209,49,blue-collar,married,primary,no,284,yes,no,unknown,19,81,1,-1,0,unknown,no
594,34,services,married,secondary,no,305,yes,no,cellular,20,212,2,-1,0,unknown,no
712,25,blue-collar,single,secondary,no,0,no,no,cellular,23,163,1,-1,0,unknown,yes
2447,55,admin.,married,secondary,no,9329,no,no,cellular,13,135,1,113,2,failure,no
1239,35,blue-collar,married,secondary,no,2432,yes,no,cellular,14,196,2,-1,0,unknown,no
1580,35,management,single,unknown,no,137,no,no,unknown,28,667,3,-1,0,unknown,no
2487,51,technician,married,secondary,no,130,no,no,cellular,22,547,3,-1,0,unknown,no
537,32,blue-collar,married,primary,no,1644,no,no,cellular,7,492,3,102,5,other,yes
3056,38,admin.,married,secondary,no,253,yes,no,unknown,9,515,4,-1,0,unknown,no
2752,41,admin.,single,secondary,no,4464,yes,no,telephone,21,1425,2,-1,0,unknown,no
2685,31,management,single,tertiary,no,924,no,no,cellular,5,207,2,98,1,success,yes
2726,52,housemaid,married,primary,no,135,no,no,cellular,8,172,9,-1,0,unknown,no
2839,44,technician,single,secondary,no,1059,yes,no,unknown,9,286,1,-1,0,unknown,no
971,34,technician,single,secondary,no,302,yes,no,unknown,14,282,1,-1,0,unknown,no
721,37,blue-collar,married,secondary,no,4321,no,no,cellular,5,657,1,-1,0,unknown,yes
157,35,management,married,tertiary,no,94,no,no,cellular,22,239,3,-1,0,unknown,no
3313,36,housemaid,married,secondary,no,0,no,yes,telephone,15,571,3,-1,0,unknown,no
2259,41,blue-collar,married,primary,no,4,no,no,cellular,23,74,5,-1,0,unknown,no
2938,44,unemployed,single,tertiary,no,7822,yes,no,telephone,2,20,1,-1,0,unknown,no
3281,57,blue-collar,married,primary,no,1075,no,no,cellular,22,164,6,-1,0,unknown,no
2355,61,management,married,secondary,no,544,no,no,cellular,29,63,3,200,9,success,yes
2327,44,services,single,secondary,no,0,yes,no,unknown,14,179,1,-1,0,unknown,no
689,38,management,single,tertiary,no,690,yes,no,unknown,20,34,1,-1,0,unknown,no
2389,42,admin.,divorced,secondary,no,2129,no,no,cellular,13,633,1,182,2,other,yes
354,60,admin.,married,unknown,no,2667,yes,no,unknown,15,140,1,-1,0,unknown,no
2046,54,blue-collar,married,secondary,no,1487,yes,no,unknown,14,302,16,-1,0,unknown,no
2217,31,management,married,tertiary,no,81,yes,no,cellular,29,164,2,-1,0,unknown,yes
3884,35,blue-collar,married,secondary,no,4723,yes,no,unknown,16,57,8,-1,0,unknown,no
1137,38,services,married,secondary,no,2678,no,no,cellular,28,282,2,187,1,success,yes
2796,40,technician,divorced,tertiary,no,0,no,no,unknown,17,522,1,-1,0,unknown,yes
3815,32,blue-collar,single,secondary,no,70,yes,no,unknown,26,118,6,-1,0,unknown,no
45,31,management,married,tertiary,no,0,no,no,cellular,26,76,2,-1,0,unknown,no
2412,38,blue-collar,single,secondary,no,0,no,no,cellular,30,102,1,-1,0,unknown,no
3943,40,services,single,secondary,no,573,yes,no,cellular,14,329,1,-1,0,unknown,no
89,35,technician,single,secondary,no,3490,yes,no,cellular,29,643,2,-1,0,unknown,yes
2914,32,admin.,married,secondary,no,203,yes,yes,cellular,7,219,2,-1,0,unknown,no
1074,50,admin.,divorced,secondary,yes,2405,yes,no,cellular,6,114,1,287,8,failure,no
3551,58,unemployed,married,secondary,no,4497,yes,no,unknown,29,128,1,-1,0,unknown,no
2128,33,management,divorced,tertiary,no,0,no,no,cellular,13,305,2,-1,0,unknown,no
633,37,entrepreneur,married,primary,no,62,no,no,cellular,31,404,2,-1,0,unknown,no
1066,33,management,married,tertiary,no,289,no,no,cellular,23,333,1,-1,0,unknown,no
3333,39,technician,single,tertiary,no,139,no,no,telephone,1,182,1,-1,0,unknown,no
321,42,technician,single,secondary,no,-15,no,no,cellular,17,89,1,145,1,failure,no
1756,36,unemployed,married,tertiary,no,7222,yes,no,cellular,4,104,1,181,5,failure,no
639,47,blue-collar,married,primary,no,117,yes,no,unknown,7,113,2,-1,0,unknown,no
635,46,blue-collar,married,primary,no,292,yes,no,cellular,20,386,2,234,4,failure,no
1065,49,management,divorced,tertiary,no,300,no,no,cellular,21,316,1,-1,0,unknown,yes
2129,37,blue-collar,married,primary,no,543,yes,no,unknown,21,281,1,-1,0,unknown,no
1225,34,technician,single,secondary,no,486,yes,no,unknown,27,185,1,-1,0,unknown,no
220,31,services,single,secondary,no,3677,yes,no,cellular,5,325,2,-1,0,unknown,no
3457,46,management,divorced,tertiary,no,302,no,no,cellular,18,80,13,-1,0,unknown,no
844,31,management,single,secondary,no,99,yes,yes,cellular,18,125,1,-1,0,unknown,no
1627,39,admin.,married,unknown,no,378,no,no,unknown,20,17,5,-1,0,unknown,no
3538,29,admin.,married,secondary,no,182,yes,yes,unknown,6,477,1,-1,0,unknown,no
81,47,blue-collar,single,unknown,no,2443,no,no,unknown,18,422,1,-1,0,unknown,no
3221,39,technician,divorced,secondary,no,902,yes,no,cellular,10,691,2,180,5,failure,yes
1633,39,self-employed,married,secondary,no,266,no,no,cellular,11,102,2,-1,0,unknown,no
3909,45,housemaid,married,primary,no,3512,no,no,cellular,16,96,1,-1,0,unknown,no
3889,36,technician,single,secondary,no,76,yes,no,cellular,31,109,5,-1,0,unknown,no
2535,29,services,single,secondary,no,2099,yes,yes,unknown,19,171,2,-1,0,unknown,no
3567,42,technician,married,tertiary,no,239,yes,yes,unknown,6,191,3,-1,0,unknown,no
1931,32,management,married,tertiary,no,678,no,no,cellular,28,13,15,-1,0,unknown,no
3627,33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,767,2,-1,0,unknown,yes
3386,54,blue-collar,married,secondary,no,2255,no,no,cellular,25,304,6,-1,0,unknown,no
554,39,technician,married,secondary,no,0,no,no,cellular,20,327,3,-1,0,unknown,no
917,42,entrepreneur,married,tertiary,no,34,yes,no,cellular,15,272,1,-1,0,unknown,no
1444,49,admin.,divorced,secondary,no,266,yes,no,unknown,29,162,2,-1,0,unknown,no
3653,43,self-employed,married,tertiary,no,819,no,no,unknown,20,285,4,-1,0,unknown,no
306,55,admin.,divorced,unknown,no,789,yes,no,unknown,13,434,2,-1,0,unknown,no
2714,43,technician,married,secondary,no,307,no,no,cellular,21,145,2,-1,0,unknown,no
1909,28,student,single,tertiary,no,3026,no,no,cellular,3,124,1,-1,0,unknown,no
2055,41,management,married,secondary,no,0,no,no,cellular,21,280,11,-1,0,unknown,no
2911,40,blue-collar,married,primary,no,2129,yes,no,cellular,20,1156,3,-1,0,unknown,no
3447,28,technician,single,secondary,no,598,yes,no,cellular,2,177,1,288,2,failure,yes
3636,35,technician,single,secondary,no,634,yes,no,cellular,29,122,2,-1,0,unknown,no
3185,36,technician,single,secondary,no,0,no,no,cellular,28,8,13,-1,0,unknown,no
2393,44,technician,single,secondary,no,3438,yes,no,telephone,30,68,2,-1,0,unknown,no
2153,59,entrepreneur,divorced,secondary,no,0,no,yes,cellular,2,69,2,-1,0,unknown,no
3892,40,services,married,secondary,no,256,yes,no,unknown,16,95,6,-1,0,unknown,no
239,33,management,married,primary,no,91,no,yes,cellular,25,113,3,-1,0,unknown,no
3483,54,technician,divorced,secondary,no,221,no,no,cellular,11,413,2,-1,0,unknown,no
3184,86,retired,divorced,unknown,no,157,no,no,telephone,7,147,1,-1,0,unknown,no
1947,40,management,married,tertiary,no,12409,yes,no,cellular,12,196,2,-1,0,unknown,no
1249,37,blue-collar,married,secondary,no,0,no,no,cellular,16,1150,1,-1,0,unknown,no
